seg_id,surah,ayah,tafsir_id,query_index,query_text,prompt_tokens,completion_tokens,total_tokens
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,1,Siapa yang dimaksud dengan 'mereka yang pertama beriman'?,456,115,571
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,2,Apa yang dimaksud dengan 'dekat kepada Allah' dalam konteks ini?,456,115,571
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,3,Apa balasan yang akan diterima oleh orang-orang yang dekat kepada Allah?,456,115,571
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,4,Mengapa orang-orang yang pertama beriman mendapat rahmat Allah?,456,115,571
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,5,Bagaimana cara menjadi orang yang dekat kepada Allah seperti yang disebutkan?,456,115,571
4990,Al-Wāqi‘ah,11,Al-Wāqi‘ah:11,6,Apakah rahmat Allah hanya untuk orang-orang yang pertama beriman saja?,456,115,571
4991,Al-Wāqi‘ah,12,Al-Wāqi‘ah:12,1,Apa yang dimaksud dengan surga yang penuh kenikmatan dalam tafsir ini?,447,82,529
4991,Al-Wāqi‘ah,12,Al-Wāqi‘ah:12,2,Siapa yang memberikan janji tentang surga tersebut?,447,82,529
4991,Al-Wāqi‘ah,12,Al-Wāqi‘ah:12,3,Bagaimana gambaran kenikmatan yang ada di surga itu?,447,82,529
4991,Al-Wāqi‘ah,12,Al-Wāqi‘ah:12,4,Kapan janji tentang surga ini akan terwujud?,447,82,529
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,1,Apa saja kenikmatan yang disebutkan di surga?,464,92,556
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,2,Siapa yang dimaksud dengan orang-orang terdahulu?,464,92,556
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,3,Mengapa orang-orang terdahulu beriman kepada Allah?,464,92,556
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,4,Bagaimana cara agar termasuk dalam golongan tersebut?,464,92,556
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,5,Kapan mereka akan menerima kenikmatan itu?,464,92,556
4992,Al-Wāqi‘ah,13,Al-Wāqi‘ah:13,6,Apakah hanya orang terdahulu yang mendapatkannya?,464,92,556
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,1,Siapa yang dimaksud dengan 'segolongan kecil dari orang-orang yang kemudian'?,458,107,565
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,2,Apa yang dimaksud dengan 'tetap teguh dalam ketaatan dan tauhid'?,458,107,565
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,3,Balasan seperti apa yang dijanjikan untuk mereka?,458,107,565
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,4,Mengapa hanya segolongan kecil yang bisa mencapai kondisi ini?,458,107,565
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,5,Bagaimana cara agar termasuk dalam golongan yang mendapat janji tersebut?,458,107,565
4993,Al-Wāqi‘ah,14,Al-Wāqi‘ah:14,6,Kapan balasan itu akan diberikan kepada mereka?,458,107,565
